company_key,company_name,segment_primary,segment_tags,source_lists,local_source_rank,yc_source_rank,city,state_or_region,metro_area,company_category,employee_band,hq_status,company_website,careers_page,company_linkedin,source_systems,check_daily,priority_tier,board_type,board_url,board_token,board_api_url,board_confirmation_status,board_last_verified_at,resolved_from_url,job_source_type,job_source_url,job_source_job_count,job_source_last_verified_at,job_source_notes,jd_capture_status,jd_format,jd_extraction_method,jd_extraction_locator,jd_last_verified_at,jd_notes,notes
soraban,Soraban,local,local;yc,greater_phoenix;yc_seed_from_local_overlap,37,,Tempe,AZ,Greater Phoenix,Accounting and Finance,11-50,Local HQ,https://www.soraban.com/,https://www.ycombinator.com/companies/soraban/jobs/,https://www.linkedin.com/company/sorabansoftware/about/,phx_fwd_local_software_100;local_yc_overlap,true,,,,,,,,,,,,,,,,,,,,
arketa,Arketa,yc,yc,yc_us_hiring_confirmed_api_native_live,,11,,,,,,,https://arketa.com,https://www.arketa.com/careers,,yc_public_directory;yc_api_native_board_confirmation,true,,ashby,https://jobs.ashbyhq.com/arketa,arketa,https://api.ashbyhq.com/posting-api/job-board/arketa?includeCompensation=true,live_jobs,,https://www.arketa.com/careers,api_native,https://api.ashbyhq.com/posting-api/job-board/arketa?includeCompensation=true,10,,,full_jd_inferred_api,html_or_text,api_field,jobs[].descriptionHtml|jobs[].descriptionPlain,,,
artie,Artie,yc,yc,yc_us_hiring_confirmed_api_native_live,,12,,,,,,,https://www.artie.com/,https://www.artie.com/careers,,yc_public_directory;yc_api_native_board_confirmation,true,,ashby,https://jobs.ashbyhq.com/artie,artie,https://api.ashbyhq.com/posting-api/job-board/artie?includeCompensation=true,live_jobs,,https://www.artie.com/careers,api_native,https://api.ashbyhq.com/posting-api/job-board/artie?includeCompensation=true,5,,,full_jd_inferred_api,html_or_text,api_field,jobs[].descriptionHtml|jobs[].descriptionPlain,,,
assemblyai,AssemblyAI,yc,yc,yc_us_hiring_confirmed_api_native_live,,13,,,,,,,https://www.assemblyai.com,https://www.assemblyai.com/careers,,yc_public_directory;yc_api_native_board_confirmation,true,,greenhouse,https://job-boards.greenhouse.io/assemblyai,assemblyai,https://boards-api.greenhouse.io/v1/boards/assemblyai/jobs?content=true,live_jobs,,https://www.assemblyai.com/careers,api_native,https://boards-api.greenhouse.io/v1/boards/assemblyai/jobs?content=true,6,,,full_jd_inferred_api,html,api_field,jobs[].content,,,
astranis,Astranis,yc,yc,yc_us_hiring_confirmed_api_native_live,,14,,,,,,,http://www.astranis.com,https://www.astranis.com/careers,,yc_public_directory;yc_api_native_board_confirmation,true,,greenhouse,https://job-boards.greenhouse.io/astranis,astranis,https://boards-api.greenhouse.io/v1/boards/astranis/jobs?content=true,live_jobs,,https://www.astranis.com/careers,api_native,https://boards-api.greenhouse.io/v1/boards/astranis/jobs?content=true,136,,,full_jd_inferred_api,html,api_field,jobs[].content,,,
astro-mechanica,Astro Mechanica,yc,yc,yc_us_hiring_confirmed_api_native_live,,15,,,,,,,https://astromecha.co/,https://www.astromecha.co/careers,,yc_public_directory;yc_api_native_board_confirmation,true,,ashby,https://jobs.ashbyhq.com/Astro-Mechanica,Astro-Mechanica,https://api.ashbyhq.com/posting-api/job-board/Astro-Mechanica?includeCompensation=true,live_jobs,,https://www.astromecha.co/careers,api_native,https://api.ashbyhq.com/posting-api/job-board/Astro-Mechanica?includeCompensation=true,38,,,full_jd_inferred_api,html_or_text,api_field,jobs[].descriptionHtml|jobs[].descriptionPlain,,,
athelas,Athelas,yc,yc,yc_us_hiring_confirmed_api_native_live,,16,,,,,,,http://athelas.com,https://www.athelas.com/careers,,yc_public_directory;yc_api_native_board_confirmation,true,,ashby,https://jobs.ashbyhq.com/Commure,Commure,https://api.ashbyhq.com/posting-api/job-board/Commure?includeCompensation=true,live_jobs,,https://www.athelas.com/careers,api_native,https://api.ashbyhq.com/posting-api/job-board/Commure?includeCompensation=true,75,,,full_jd_inferred_api,html_or_text,api_field,jobs[].descriptionHtml|jobs[].descriptionPlain,,,
athenahq,AthenaHQ,yc,yc,yc_us_hiring_confirmed_api_native_live,,17,,,,,,,https://www.athenahq.ai,https://athenahq.ai/careers,,yc_public_directory;yc_api_native_board_confirmation,true,,ashby,https://jobs.ashbyhq.com/athena-hq,athena-hq,https://api.ashbyhq.com/posting-api/job-board/athena-hq?includeCompensation=true,live_jobs,,https://athenahq.ai/careers,api_native,https://api.ashbyhq.com/posting-api/job-board/athena-hq?includeCompensation=true,5,,,full_jd_inferred_api,html_or_text,api_field,jobs[].descriptionHtml|jobs[].descriptionPlain,,,
atlas-3,Atlas,yc,yc,yc_us_hiring_confirmed_api_native_live,,18,,,,,,,https://atlascard.com,https://atlascard.com/,,yc_public_directory;yc_api_native_board_confirmation,true,,ashby,https://jobs.ashbyhq.com/atlas,atlas,https://api.ashbyhq.com/posting-api/job-board/atlas?includeCompensation=true,live_jobs,,https://atlascard.com/,api_native,https://api.ashbyhq.com/posting-api/job-board/atlas?includeCompensation=true,6,,,full_jd_inferred_api,html_or_text,api_field,jobs[].descriptionHtml|jobs[].descriptionPlain,,,
atob,AtoB,yc,yc,yc_us_hiring_confirmed_api_native_live,,19,,,,,,,https://atob.com/,https://www.atob.com/careers,,yc_public_directory;yc_api_native_board_confirmation,true,,ashby,https://jobs.ashbyhq.com/atob,atob,https://api.ashbyhq.com/posting-api/job-board/atob?includeCompensation=true,live_jobs,,https://www.atob.com/careers,api_native,https://api.ashbyhq.com/posting-api/job-board/atob?includeCompensation=true,13,,,full_jd_inferred_api,html_or_text,api_field,jobs[].descriptionHtml|jobs[].descriptionPlain,,,
atomic,Atomic,yc,yc,yc_us_hiring_confirmed_api_native_live,,20,,,,,,,https://www.atomicvest.com/,https://www.atomicvest.com/careers,,yc_public_directory;yc_api_native_board_confirmation,true,,ashby,https://jobs.ashbyhq.com/atomic-invest,atomic-invest,https://api.ashbyhq.com/posting-api/job-board/atomic-invest?includeCompensation=true,live_jobs,,https://www.atomicvest.com/careers,api_native,https://api.ashbyhq.com/posting-api/job-board/atomic-invest?includeCompensation=true,3,,,full_jd_inferred_api,html_or_text,api_field,jobs[].descriptionHtml|jobs[].descriptionPlain,,,
axel-travel,Axel Travel,yc,yc,yc_us_hiring_confirmed_api_native_live,,21,,,,,,,https://helloaxel.com/,https://helloaxel.com/en/careers,,yc_public_directory;yc_api_native_board_confirmation,true,,ashby,https://jobs.ashbyhq.com/Axel,Axel,https://api.ashbyhq.com/posting-api/job-board/Axel?includeCompensation=true,live_jobs,,https://helloaxel.com/en/careers,api_native,https://api.ashbyhq.com/posting-api/job-board/Axel?includeCompensation=true,1,,,full_jd_inferred_api,html_or_text,api_field,jobs[].descriptionHtml|jobs[].descriptionPlain,,,
axle-health,Axle Health,yc,yc,yc_us_hiring_confirmed_api_native_live,,22,,,,,,,https://www.axlehealth.com,https://www.axlehealth.com/careers,,yc_public_directory;yc_api_native_board_confirmation,true,,ashby,https://jobs.ashbyhq.com/axle-health,axle-health,https://api.ashbyhq.com/posting-api/job-board/axle-health?includeCompensation=true,live_jobs,,https://www.axlehealth.com/careers,api_native,https://api.ashbyhq.com/posting-api/job-board/axle-health?includeCompensation=true,6,,,full_jd_inferred_api,html_or_text,api_field,jobs[].descriptionHtml|jobs[].descriptionPlain,,,
bankjoy,Bankjoy,yc,yc,yc_us_hiring_confirmed_api_native_live,,23,,,,,,,http://bankjoy.com,https://bankjoy.com/jobs,,yc_public_directory;yc_api_native_board_confirmation,true,,ashby,https://jobs.ashbyhq.com/bankjoy,bankjoy,https://api.ashbyhq.com/posting-api/job-board/bankjoy?includeCompensation=true,live_jobs,,https://bankjoy.com/jobs,api_native,https://api.ashbyhq.com/posting-api/job-board/bankjoy?includeCompensation=true,8,,,full_jd_inferred_api,html_or_text,api_field,jobs[].descriptionHtml|jobs[].descriptionPlain,,,
benepass,Benepass,yc,yc,yc_us_hiring_confirmed_api_native_live,,24,,,,,,,http://www.getbenepass.com,https://getbenepass.com/,,yc_public_directory;yc_api_native_board_confirmation,true,,ashby,https://jobs.ashbyhq.com/benepass,benepass,https://api.ashbyhq.com/posting-api/job-board/benepass?includeCompensation=true,live_jobs,,https://getbenepass.com/,api_native,https://api.ashbyhq.com/posting-api/job-board/benepass?includeCompensation=true,11,,,full_jd_inferred_api,html_or_text,api_field,jobs[].descriptionHtml|jobs[].descriptionPlain,,,
bland-ai,Bland AI,yc,yc,yc_us_hiring_confirmed_api_native_live,,25,,,,,,,https://bland.com,https://jobs.ashbyhq.com/bland,,yc_public_directory;yc_api_native_board_confirmation,true,,ashby,https://jobs.ashbyhq.com/bland,bland,https://api.ashbyhq.com/posting-api/job-board/bland?includeCompensation=true,live_jobs,,https://jobs.ashbyhq.com/bland,api_native,https://api.ashbyhq.com/posting-api/job-board/bland?includeCompensation=true,12,,,full_jd_inferred_api,html_or_text,api_field,jobs[].descriptionHtml|jobs[].descriptionPlain,,,
blaxel,Blaxel,yc,yc,yc_us_hiring_confirmed_api_native_live,,26,,,,,,,https://blaxel.ai,https://blaxel.ai/,,yc_public_directory;yc_api_native_board_confirmation,true,,ashby,https://jobs.ashbyhq.com/blaxel,blaxel,https://api.ashbyhq.com/posting-api/job-board/blaxel?includeCompensation=true,live_jobs,,https://blaxel.ai/,api_native,https://api.ashbyhq.com/posting-api/job-board/blaxel?includeCompensation=true,3,,,full_jd_inferred_api,html_or_text,api_field,jobs[].descriptionHtml|jobs[].descriptionPlain,,,
blee,Blee,yc,yc,yc_us_hiring_confirmed_api_native_live,,27,,,,,,,https://www.blee.com,https://www.blee.com/careers,,yc_public_directory;yc_api_native_board_confirmation,true,,ashby,https://jobs.ashbyhq.com/Blee,Blee,https://api.ashbyhq.com/posting-api/job-board/Blee?includeCompensation=true,live_jobs,,https://www.blee.com/careers,api_native,https://api.ashbyhq.com/posting-api/job-board/Blee?includeCompensation=true,8,,,full_jd_inferred_api,html_or_text,api_field,jobs[].descriptionHtml|jobs[].descriptionPlain,,,
blissway,Blissway,yc,yc,yc_us_hiring_confirmed_api_native_live,,28,,,,,,,https://www.blissway.com/,https://www.blissway.com/,,yc_public_directory;yc_api_native_board_confirmation,true,,ashby,https://jobs.ashbyhq.com/blissway,blissway,https://api.ashbyhq.com/posting-api/job-board/blissway?includeCompensation=true,live_jobs,,https://www.blissway.com/,api_native,https://api.ashbyhq.com/posting-api/job-board/blissway?includeCompensation=true,6,,,full_jd_inferred_api,html_or_text,api_field,jobs[].descriptionHtml|jobs[].descriptionPlain,,,
bretton-ai,Bretton AI,yc,yc,yc_us_hiring_confirmed_api_native_live,,29,,,,,,,https://www.bretton.com/,https://www.bretton.com/careers,,yc_public_directory;yc_api_native_board_confirmation,true,,ashby,https://jobs.ashbyhq.com/brettonai,brettonai,https://api.ashbyhq.com/posting-api/job-board/brettonai?includeCompensation=true,live_jobs,,https://www.bretton.com/careers,api_native,https://api.ashbyhq.com/posting-api/job-board/brettonai?includeCompensation=true,8,,,full_jd_inferred_api,html_or_text,api_field,jobs[].descriptionHtml|jobs[].descriptionPlain,,,
bunkerhill-health,Bunkerhill Health,yc,yc,yc_us_hiring_confirmed_api_native_live,,30,,,,,,,http://bunkerhillhealth.com,https://www.bunkerhillhealth.com/careers,,yc_public_directory;yc_api_native_board_confirmation,true,,ashby,https://jobs.ashbyhq.com/bunkerhillhealth,bunkerhillhealth,https://api.ashbyhq.com/posting-api/job-board/bunkerhillhealth?includeCompensation=true,live_jobs,,https://www.bunkerhillhealth.com/careers,api_native,https://api.ashbyhq.com/posting-api/job-board/bunkerhillhealth?includeCompensation=true,6,,,full_jd_inferred_api,html_or_text,api_field,jobs[].descriptionHtml|jobs[].descriptionPlain,,,
cambio-2,Cambio,yc,yc,yc_us_hiring_confirmed_api_native_live,,31,,,,,,,https://www.cambio.ai/,https://www.cambio.ai/careers,,yc_public_directory;yc_api_native_board_confirmation,true,,ashby,https://jobs.ashbyhq.com/cambio,cambio,https://api.ashbyhq.com/posting-api/job-board/cambio?includeCompensation=true,live_jobs,,https://www.cambio.ai/careers,api_native,https://api.ashbyhq.com/posting-api/job-board/cambio?includeCompensation=true,2,,,full_jd_inferred_api,html_or_text,api_field,jobs[].descriptionHtml|jobs[].descriptionPlain,,,
cambly,Cambly,yc,yc,yc_us_hiring_confirmed_api_native_live,,32,,,,,,,http://www.cambly.com,https://jobs.cambly.com/,,yc_public_directory;yc_api_native_board_confirmation,true,,ashby,https://jobs.ashbyhq.com/Cambly,Cambly,https://api.ashbyhq.com/posting-api/job-board/Cambly?includeCompensation=true,live_jobs,,https://jobs.cambly.com/,api_native,https://api.ashbyhq.com/posting-api/job-board/Cambly?includeCompensation=true,12,,,full_jd_inferred_api,html_or_text,api_field,jobs[].descriptionHtml|jobs[].descriptionPlain,,,
campfire-2,Campfire,yc,yc,yc_us_hiring_confirmed_api_native_live,,33,,,,,,,https://campfire.ai,https://campfire.ai/careers,,yc_public_directory;yc_api_native_board_confirmation,true,,ashby,https://jobs.ashbyhq.com/campfire,campfire,https://api.ashbyhq.com/posting-api/job-board/campfire?includeCompensation=true,live_jobs,,https://campfire.ai/careers,api_native,https://api.ashbyhq.com/posting-api/job-board/campfire?includeCompensation=true,25,,,full_jd_inferred_api,html_or_text,api_field,jobs[].descriptionHtml|jobs[].descriptionPlain,,,
canary-technologies,Canary Technologies,yc,yc,yc_us_hiring_confirmed_api_native_live,,34,,,,,,,https://www.canarytechnologies.com,https://www.canarytechnologies.com/jobs,,yc_public_directory;yc_api_native_board_confirmation,true,,lever,https://jobs.lever.co/canarytechnologies,canarytechnologies,https://api.lever.co/v0/postings/canarytechnologies?mode=json,live_jobs,,https://www.canarytechnologies.com/jobs,api_native,https://api.lever.co/v0/postings/canarytechnologies?mode=json,43,,,full_jd_inferred_api,html_or_text,api_field,[].description|[].descriptionPlain,,,
candid-health,Candid Health,yc,yc,yc_us_hiring_confirmed_api_native_live,,35,,,,,,,https://www.joincandidhealth.com,https://candidhealth.com/careers,,yc_public_directory;yc_api_native_board_confirmation,true,,ashby,https://jobs.ashbyhq.com/candidhealth,candidhealth,https://api.ashbyhq.com/posting-api/job-board/candidhealth?includeCompensation=true,live_jobs,,https://candidhealth.com/careers,api_native,https://api.ashbyhq.com/posting-api/job-board/candidhealth?includeCompensation=true,36,,,full_jd_inferred_api,html_or_text,api_field,jobs[].descriptionHtml|jobs[].descriptionPlain,,,
capy,Capy,yc,yc,yc_us_hiring_confirmed_api_native_live,,36,,,,,,,https://capy.ai,https://capy.ai/careers,,yc_public_directory;yc_api_native_board_confirmation,true,,ashby,https://jobs.ashbyhq.com/capy,capy,https://api.ashbyhq.com/posting-api/job-board/capy?includeCompensation=true,live_jobs,,https://capy.ai/careers,api_native,https://api.ashbyhq.com/posting-api/job-board/capy?includeCompensation=true,2,,,full_jd_inferred_api,html_or_text,api_field,jobs[].descriptionHtml|jobs[].descriptionPlain,,,
casca,Casca,yc,yc,yc_us_hiring_confirmed_api_native_live,,37,,,,,,,https://www.cascading.ai/,https://www.cascading.ai/,,yc_public_directory;yc_api_native_board_confirmation,true,,ashby,https://jobs.ashbyhq.com/casca,casca,https://api.ashbyhq.com/posting-api/job-board/casca?includeCompensation=true,live_jobs,,https://www.cascading.ai/,api_native,https://api.ashbyhq.com/posting-api/job-board/casca?includeCompensation=true,11,,,full_jd_inferred_api,html_or_text,api_field,jobs[].descriptionHtml|jobs[].descriptionPlain,,,
charge-robotics,Charge Robotics,yc,yc,yc_us_hiring_confirmed_api_native_live,,38,,,,,,,https://chargerobotics.com/,https://chargerobotics.com/,,yc_public_directory;yc_api_native_board_confirmation,true,,ashby,https://jobs.ashbyhq.com/charge-robotics,charge-robotics,https://api.ashbyhq.com/posting-api/job-board/charge-robotics?includeCompensation=true,live_jobs,,https://chargerobotics.com/,api_native,https://api.ashbyhq.com/posting-api/job-board/charge-robotics?includeCompensation=true,10,,,full_jd_inferred_api,html_or_text,api_field,jobs[].descriptionHtml|jobs[].descriptionPlain,,,
cinder-2,Cinder,yc,yc,yc_us_hiring_confirmed_api_native_live,,39,,,,,,,https://cinder.ai,https://cinder.ai/careers,,yc_public_directory;yc_api_native_board_confirmation,true,,ashby,https://jobs.ashbyhq.com/cinder,cinder,https://api.ashbyhq.com/posting-api/job-board/cinder?includeCompensation=true,live_jobs,,https://cinder.ai/careers,api_native,https://api.ashbyhq.com/posting-api/job-board/cinder?includeCompensation=true,8,,,full_jd_inferred_api,html_or_text,api_field,jobs[].descriptionHtml|jobs[].descriptionPlain,,,
claim-health,Claim Health,yc,yc,yc_us_hiring_confirmed_api_native_live,,40,,,,,,,https://www.claimhealth.com,https://www.claimhealth.com/,,yc_public_directory;yc_api_native_board_confirmation,true,,ashby,https://jobs.ashbyhq.com/claim-health,claim-health,https://api.ashbyhq.com/posting-api/job-board/claim-health?includeCompensation=true,live_jobs,,https://www.claimhealth.com/,api_native,https://api.ashbyhq.com/posting-api/job-board/claim-health?includeCompensation=true,6,,,full_jd_inferred_api,html_or_text,api_field,jobs[].descriptionHtml|jobs[].descriptionPlain,,,
clearly-ai,Clearly AI,yc,yc,yc_us_hiring_confirmed_api_native_live,,41,,,,,,,https://clearly-ai.com,https://clearly-ai.com/blog/seed-round,,yc_public_directory;yc_api_native_board_confirmation,true,,ashby,https://jobs.ashbyhq.com/clearly-ai,clearly-ai,https://api.ashbyhq.com/posting-api/job-board/clearly-ai?includeCompensation=true,live_jobs,,https://clearly-ai.com/blog/seed-round,api_native,https://api.ashbyhq.com/posting-api/job-board/clearly-ai?includeCompensation=true,7,,,full_jd_inferred_api,html_or_text,api_field,jobs[].descriptionHtml|jobs[].descriptionPlain,,,
clipboard,Clipboard,yc,yc,yc_us_hiring_confirmed_api_native_live,,42,,,,,,,https://www.clipboardworks.com/careers,https://www.clipboardworks.com/careers,,yc_public_directory;yc_api_native_board_confirmation,true,,ashby,https://jobs.ashbyhq.com/clipboard,clipboard,https://api.ashbyhq.com/posting-api/job-board/clipboard?includeCompensation=true,live_jobs,,https://www.clipboardworks.com/careers,api_native,https://api.ashbyhq.com/posting-api/job-board/clipboard?includeCompensation=true,48,,,full_jd_inferred_api,html_or_text,api_field,jobs[].descriptionHtml|jobs[].descriptionPlain,,,
codes-health,Codes Health,yc,yc,yc_us_hiring_confirmed_api_native_live,,43,,,,,,,https://www.codeshealth.com/,https://www.getcodeshealth.com/use-cases,,yc_public_directory;yc_api_native_board_confirmation,true,,ashby,https://jobs.ashbyhq.com/codes-health,codes-health,https://api.ashbyhq.com/posting-api/job-board/codes-health?includeCompensation=true,live_jobs,,https://www.getcodeshealth.com/use-cases,api_native,https://api.ashbyhq.com/posting-api/job-board/codes-health?includeCompensation=true,8,,,full_jd_inferred_api,html_or_text,api_field,jobs[].descriptionHtml|jobs[].descriptionPlain,,,
collectly,Collectly,yc,yc,yc_us_hiring_confirmed_api_native_live,,44,,,,,,,http://collectly.co/,https://www.collectly.co/,,yc_public_directory;yc_api_native_board_confirmation,true,,lever,https://jobs.lever.co/CollectlyInc,CollectlyInc,https://api.lever.co/v0/postings/CollectlyInc?mode=json,live_jobs,,https://www.collectly.co/,api_native,https://api.lever.co/v0/postings/CollectlyInc?mode=json,12,,,full_jd_inferred_api,html_or_text,api_field,[].description|[].descriptionPlain,,,
concourse,Concourse,yc,yc,yc_us_hiring_confirmed_api_native_live,,45,,,,,,,https://concourse.co/,https://www.concourse.co/,,yc_public_directory;yc_api_native_board_confirmation,true,,ashby,https://jobs.ashbyhq.com/concourse,concourse,https://api.ashbyhq.com/posting-api/job-board/concourse?includeCompensation=true,live_jobs,,https://www.concourse.co/,api_native,https://api.ashbyhq.com/posting-api/job-board/concourse?includeCompensation=true,12,,,full_jd_inferred_api,html_or_text,api_field,jobs[].descriptionHtml|jobs[].descriptionPlain,,,
confido,Confido,yc,yc,yc_us_hiring_confirmed_api_native_live,,46,,,,,,,https://www.confidotech.com,https://www.confidotech.com/careers,,yc_public_directory;yc_api_native_board_confirmation,true,,ashby,https://jobs.ashbyhq.com/confido,confido,https://api.ashbyhq.com/posting-api/job-board/confido?includeCompensation=true,live_jobs,,https://www.confidotech.com/careers,api_native,https://api.ashbyhq.com/posting-api/job-board/confido?includeCompensation=true,26,,,full_jd_inferred_api,html_or_text,api_field,jobs[].descriptionHtml|jobs[].descriptionPlain,,,
constellation-space,Constellation Space,yc,yc,yc_us_hiring_confirmed_api_native_live,,47,,,,,,,https://constellation.space/,https://constellation.space/,,yc_public_directory;yc_api_native_board_confirmation,true,,ashby,https://jobs.ashbyhq.com/constellationspace,constellationspace,https://api.ashbyhq.com/posting-api/job-board/constellationspace?includeCompensation=true,live_jobs,,https://constellation.space/,api_native,https://api.ashbyhq.com/posting-api/job-board/constellationspace?includeCompensation=true,4,,,full_jd_inferred_api,html_or_text,api_field,jobs[].descriptionHtml|jobs[].descriptionPlain,,,
coperniq,Coperniq,yc,yc,yc_us_hiring_confirmed_api_native_live,,48,,,,,,,https://coperniq.io,https://coperniq.io/integrations,,yc_public_directory;yc_api_native_board_confirmation,true,,ashby,https://jobs.ashbyhq.com/Coperniq,Coperniq,https://api.ashbyhq.com/posting-api/job-board/Coperniq?includeCompensation=true,live_jobs,,https://coperniq.io/integrations,api_native,https://api.ashbyhq.com/posting-api/job-board/Coperniq?includeCompensation=true,1,,,full_jd_inferred_api,html_or_text,api_field,jobs[].descriptionHtml|jobs[].descriptionPlain,,,
